onset,duration,description
1970-01-01 00:00:00.000000,0.0,Blink
1970-01-01 00:00:00.000000,0.0,Mordida
1970-01-01 00:00:05.571911,0.2702702702702702,Blink
1970-01-01 00:00:05.970882,0.21879021879021998,Blink
1970-01-01 00:00:06.292632,0.2702702702702702,Blink
1970-01-01 00:00:55.874356,0.28314028314028405,Blink
1970-01-01 00:00:57.264318,0.19305019305019044,Blink
1970-01-01 00:00:57.508848,0.20592020592020077,Blink
1970-01-01 00:01:13.438707,0.20592020592020788,Blink
1970-01-01 00:01:31.167149,0.2574002574002492,Blink
1970-01-01 00:01:38.847329,0.3989703989704054,Mordida
1970-01-01 00:01:40.970882,0.5148005148005126,Mordida
1970-01-01 00:01:43.429054,0.4247104247104261,Mordida
1970-01-01 00:01:46.411680,0.36036036036036023,Mordida
1970-01-01 00:01:48.911680,0.28314028314028405,Blink
1970-01-01 00:01:49.297780,0.15444015444015236,Blink
1970-01-01 00:01:49.683880,0.28314028314028405,Blink
1970-01-01 00:01:50.121461,0.3088803088803047,Blink
1970-01-01 00:01:50.867921,0.23166023166024274,Blink
1970-01-01 00:01:51.292632,0.2960102960102944,Blink
1970-01-01 00:02:01.115669,0.2187902187902182,Blink
1970-01-01 00:02:01.411680,0.14157014157014203,Blink
1970-01-01 00:02:01.604730,0.15444015444015236,Blink
1970-01-01 00:02:01.797780,0.19305019305018334,Blink
1970-01-01 00:02:02.042310,0.1287001287001317,Blink
1970-01-01 00:02:02.299710,0.2187902187902182,Blink
1970-01-01 00:02:02.569981,0.1673101673101769,Blink
1970-01-01 00:02:02.814511,0.14157014157014203,Blink
1970-01-01 00:02:03.071911,0.19305019305019755,Blink
1970-01-01 00:02:20.378861,0.2574002574002634,Blink
1970-01-01 00:02:53.692889,0.29601029601028017,Blink
1970-01-01 00:02:58.821589,0.257400257400235,Blink
1970-01-01 00:03:32.376931,0.2702702702702595,Blink
1970-01-01 00:03:34.645270,0.24453024453023886,Blink
