onset,duration,description
1970-01-01 00:00:00.000000,0.0,Blink
1970-01-01 00:00:00.000000,0.0,Mordida
1970-01-01 00:00:05.513889,0.30303030303030276,Blink
1970-01-01 00:00:05.938131,0.2626262626262612,Blink
1970-01-01 00:00:06.321970,0.2222222222222232,Blink
1970-01-01 00:00:55.927596,0.30303030303029743,Blink
1970-01-01 00:00:57.240728,0.22222222222222854,Blink
1970-01-01 00:00:57.503354,0.2424242424242351,Blink
1970-01-01 00:01:13.416114,0.28282828282829087,Blink
1970-01-01 00:01:31.138336,0.3232323232323182,Blink
1970-01-01 00:01:38.860559,0.4040404040404013,Mordida
1970-01-01 00:01:41.042377,0.4040404040404013,Mordida
1970-01-01 00:01:43.466619,0.4242424242424221,Mordida
